,price,year,manufacturer,model,condition,odometer,cylinders,fuel,title_status,transmission,drive,type,paint_color,state
3798,16600,2015,audi,a4,excellent,82000.0,4 cylinders,gas,clean,automatic,fwd,sedan,blue,ca
50757,12995,2014,subaru,outb,excellent,97258.0,4 cylinders,gas,clean,automatic,4wd,wagon,red,vt
35652,14900,2009,jeep,wran,excellent,107000.0,6 cylinders,gas,clean,automatic,4wd,SUV,red,ny
50684,8796,2012,ford,fusi,good,67839.0,6 cylinders,gas,clean,automatic,fwd,sedan,custom,vt
36168,20995,2013,gmc,yuko,good,128600.0,8 cylinders,other,clean,automatic,4wd,other,white,ny
41035,18900,2011,ford,f250,good,262449.0,8 cylinders,diesel,clean,automatic,4wd,pickup,white,ok
39413,7999,2016,kia,opti,good,66000.0,4 cylinders,gas,clean,automatic,fwd,sedan,grey,oh
55042,5900,2008,volkswagen,pass,excellent,174000.0,4 cylinders,gas,clean,automatic,fwd,wagon,grey,wi
12990,15000,1999,toyota,taco,excellent,248322.0,4 cylinders,gas,clean,automatic,4wd,truck,white,fl
36296,12995,2008,jeep,wran,excellent,112568.0,6 cylinders,gas,clean,manual,4wd,SUV,green,ny
884,5900,2007,mercedes-benz,benz,excellent,148000.0,6 cylinders,gas,rebuilt,automatic,4wd,sedan,black,ak
25472,14500,2019,chevrolet,trax,like new,28722.0,4 cylinders,gas,clean,automatic,fwd,SUV,white,mi
12451,7500,2004,ram,1500,excellent,189000.0,8 cylinders,gas,clean,automatic,rwd,truck,silver,fl
47655,11500,2011,mercedes-benz,e350,excellent,109000.0,6 cylinders,gas,clean,automatic,4wd,sedan,black,tn
45029,7990,2016,kia,riol,like new,93000.0,4 cylinders,gas,clean,automatic,fwd,sedan,black,pa
53067,17995,2011,ford,f150,excellent,126786.0,8 cylinders,gas,clean,automatic,4wd,pickup,white,wa
39018,17500,2014,chevrolet,silv,excellent,129464.0,8 cylinders,gas,clean,automatic,4wd,truck,green,oh
52716,20590,2018,chrysler,300l,good,71021.0,6 cylinders,gas,clean,other,rwd,sedan,black,va
37591,16500,2001,ford,must,good,74841.0,8 cylinders,gas,clean,other,rwd,convertible,blue,ny
6529,16599,2014,toyota,aval,excellent,65000.0,6 cylinders,gas,clean,automatic,rwd,sedan,white,ca
41559,6999,2005,honda,civi,excellent,147130.0,4 cylinders,gas,clean,manual,fwd,sedan,silver,or
18054,19000,2011,ram,2500,excellent,129000.0,8 cylinders,gas,clean,automatic,4wd,truck,white,in
24432,12650,2011,honda,pilo,excellent,123763.0,6 cylinders,gas,clean,automatic,4wd,SUV,red,ma
12949,9500,2009,bmw,1ser,excellent,99900.0,6 cylinders,gas,clean,automatic,rwd,coupe,black,fl
8788,10500,2014,mini,coop,excellent,76000.0,4 cylinders,gas,clean,manual,4wd,hatchback,green,ca
26612,6995,2007,volvo,c70,good,119138.0,5 cylinders,gas,clean,automatic,fwd,convertible,black,mi
5071,10900,2017,nissan,alti,excellent,0.0,4 cylinders,gas,clean,automatic,fwd,sedan,black,ca
33689,22499,2017,dodge,dura,excellent,99469.0,6 cylinders,gas,clean,automatic,4wd,SUV,black,nj
198,16500,2013,ford,esca,excellent,51500.0,4 cylinders,gas,clean,automatic,fwd,SUV,red,al
26969,18895,2016,ford,edge,good,98136.0,6 cylinders,gas,clean,automatic,4wd,SUV,black,mi
53249,8988,2005,lexus,rx33,good,203323.0,6 cylinders,gas,clean,automatic,fwd,SUV,grey,wa
14580,6991,1996,chevrolet,corv,like new,123745.0,8 cylinders,gas,clean,automatic,rwd,coupe,white,fl
35176,8500,2011,honda,pilo,like new,1.0,6 cylinders,gas,clean,automatic,4wd,SUV,grey,ny
33839,17973,2012,subaru,impr,good,150111.0,4 cylinders,gas,clean,manual,4wd,wagon,silver,nj
18487,11600,2016,kia,opti,like new,97810.0,4 cylinders,gas,clean,automatic,fwd,sedan,white,in
45794,14999,2013,lexus,gs35,excellent,194400.0,6 cylinders,gas,clean,automatic,rwd,sedan,grey,sc
31588,13500,2008,toyota,4run,good,131000.0,6 cylinders,gas,clean,automatic,4wd,SUV,red,nc
18587,9995,2011,infiniti,g37j,excellent,121010.0,6 cylinders,gas,clean,automatic,rwd,sedan,black,in
17378,17995,2017,dodge,jour,excellent,47000.0,6 cylinders,gas,clean,automatic,4wd,SUV,red,il
25349,20995,2016,chevrolet,cama,excellent,79036.0,6 cylinders,gas,clean,automatic,rwd,coupe,black,mi
39708,6995,2008,buick,lacr,like new,77000.0,6 cylinders,gas,clean,automatic,fwd,sedan,blue,oh
18598,22990,2016,ford,econ,good,181410.0,8 cylinders,gas,clean,automatic,rwd,truck,white,in
